date,security,price
2023-04-19,afc803dc-c919-4bb1-b35d-d506f460cfe4,1069
2023-04-20,5b70a7f4-1978-4e1f-820f-5684230521cc,922
2023-04-20,3bb7355a-efe6-440e-84be-eee7cac73ba2,647
2023-04-20,afc803dc-c919-4bb1-b35d-d506f460cfe4,1068
2023-04-21,5b70a7f4-1978-4e1f-820f-5684230521cc,910
2023-04-21,3bb7355a-efe6-440e-84be-eee7cac73ba2,638
2023-04-21,afc803dc-c919-4bb1-b35d-d506f460cfe4,1054
2023-04-22,5b70a7f4-1978-4e1f-820f-5684230521cc,907
2023-04-22,3bb7355a-efe6-440e-84be-eee7cac73ba2,636
2023-04-22,afc803dc-c919-4bb1-b35d-d506f460cfe4,1051
2023-04-23,5b70a7f4-1978-4e1f-820f-5684230521cc,907
2023-04-23,3bb7355a-efe6-440e-84be-eee7cac73ba2,636
2023-04-23,afc803dc-c919-4bb1-b35d-d506f460cfe4,1051
2023-04-24,5b70a7f4-1978-4e1f-820f-5684230521cc,907
2023-04-24,3bb7355a-efe6-440e-84be-eee7cac73ba2,636
2023-04-24,afc803dc-c919-4bb1-b35d-d506f460cfe4,1051
2023-04-25,5b70a7f4-1978-4e1f-820f-5684230521cc,902
2023-04-25,3bb7355a-efe6-440e-84be-eee7cac73ba2,633
2023-04-25,afc803dc-c919-4bb1-b35d-d506f460cfe4,1045
2023-04-26,5b70a7f4-1978-4e1f-820f-5684230521cc,911
2023-04-26,3bb7355a-efe6-440e-84be-eee7cac73ba2,639
2023-04-26,afc803dc-c919-4bb1-b35d-d506f460cfe4,1055
2023-04-27,5b70a7f4-1978-4e1f-820f-5684230521cc,903
2023-04-27,3bb7355a-efe6-440e-84be-eee7cac73ba2,633
2023-04-27,afc803dc-c919-4bb1-b35d-d506f460cfe4,1046
2023-04-28,5b70a7f4-1978-4e1f-820f-5684230521cc,902
2023-04-28,3bb7355a-efe6-440e-84be-eee7cac73ba2,633
2023-04-28,afc803dc-c919-4bb1-b35d-d506f460cfe4,1045
2023-04-29,5b70a7f4-1978-4e1f-820f-5684230521cc,902
2023-04-29,3bb7355a-efe6-440e-84be-eee7cac73ba2,633
2023-04-29,afc803dc-c919-4bb1-b35d-d506f460cfe4,1045
2023-04-30,5b70a7f4-1978-4e1f-820f-5684230521cc,903
2023-04-30,3bb7355a-efe6-440e-84be-eee7cac73ba2,633
2023-04-30,afc803dc-c919-4bb1-b35d-d506f460cfe4,1046
2023-05-01,5b70a7f4-1978-4e1f-820f-5684230521cc,901
2023-05-01,3bb7355a-efe6-440e-84be-eee7cac73ba2,632
2023-05-01,afc803dc-c919-4bb1-b35d-d506f460cfe4,1044
2023-05-02,5b70a7f4-1978-4e1f-820f-5684230521cc,898
2023-05-02,3bb7355a-efe6-440e-84be-eee7cac73ba2,630
2023-05-02,afc803dc-c919-4bb1-b35d-d506f460cfe4,1040
2023-05-03,5b70a7f4-1978-4e1f-820f-5684230521cc,895
2023-05-03,3bb7355a-efe6-440e-84be-eee7cac73ba2,628
2023-05-03,afc803dc-c919-4bb1-b35d-d506f460cfe4,1037
2023-05-04,5b70a7f4-1978-4e1f-820f-5684230521cc,896
2023-05-04,3bb7355a-efe6-440e-84be-eee7cac73ba2,628
2023-05-04,afc803dc-c919-4bb1-b35d-d506f460cfe4,1038
2023-05-05,5b70a7f4-1978-4e1f-820f-5684230521cc,883
2023-05-05,3bb7355a-efe6-440e-84be-eee7cac73ba2,619
2023-05-05,afc803dc-c919-4bb1-b35d-d506f460cfe4,1023
2023-05-06,5b70a7f4-1978-4e1f-820f-5684230521cc,879
2023-05-06,3bb7355a-efe6-440e-84be-eee7cac73ba2,617
2023-05-06,afc803dc-c919-4bb1-b35d-d506f460cfe4,1018
2023-05-07,5b70a7f4-1978-4e1f-820f-5684230521cc,874
2023-05-07,3bb7355a-efe6-440e-84be-eee7cac73ba2,613
2023-05-07,afc803dc-c919-4bb1-b35d-d506f460cfe4,1013
2023-05-08,5b70a7f4-1978-4e1f-820f-5684230521cc,874
2023-05-08,3bb7355a-efe6-440e-84be-eee7cac73ba2,613
2023-05-08,afc803dc-c919-4bb1-b35d-d506f460cfe4,1013
2023-05-09,5b70a7f4-1978-4e1f-820f-5684230521cc,870
2023-05-09,3bb7355a-efe6-440e-84be-eee7cac73ba2,610
2023-05-09,afc803dc-c919-4bb1-b35d-d506f460cfe4,1008
2023-05-10,5b70a7f4-1978-4e1f-820f-5684230521cc,871
2023-05-10,3bb7355a-efe6-440e-84be-eee7cac73ba2,611
2023-05-10,afc803dc-c919-4bb1-b35d-d506f460cfe4,1009
2023-05-11,5b70a7f4-1978-4e1f-820f-5684230521cc,874
2023-05-11,3bb7355a-efe6-440e-84be-eee7cac73ba2,613
2023-05-11,afc803dc-c919-4bb1-b35d-d506f460cfe4,1013
2023-05-12,5b70a7f4-1978-4e1f-820f-5684230521cc,873
